"FullName","Name"
"D:\Karaoke\from vinny\9-19-14\Blake Shelton Hillbilly Bone  (karaoke)\Blake Shelton - Hillbilly Bone.cdg","Blake Shelton - Hillbilly Bone.cdg"
"D:\Karaoke\from vinny\9-19-14\Blake Shelton Hillbilly Bone  (karaoke)\Blake Shelton - Hillbilly Bone.mp3","Blake Shelton - Hillbilly Bone.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Back In Black.cdg","AC-DC - Back In Black.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Back In Black.mp3","AC-DC - Back In Black.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Big Balls.cdg","AC-DC - Big Balls.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Big Balls.mp3","AC-DC - Big Balls.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - For Those About To Rock.cdg","AC-DC - For Those About To Rock.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - For Those About To Rock.mp3","AC-DC - For Those About To Rock.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Girls Got Rythm.cdg","AC-DC - Girls Got Rythm.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Girls Got Rythm.MP3","AC-DC - Girls Got Rythm.MP3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Hells Bells.cdg","AC-DC - Hells Bells.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Hells Bells.mp3","AC-DC - Hells Bells.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Rock N' Roll Ain't Noise Pollution.cdg","AC-DC - Rock N' Roll Ain't Noise Pollution.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Rock N' Roll Ain't Noise Pollution.MP3","AC-DC - Rock N' Roll Ain't Noise Pollution.MP3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Rocker.cdg","AC-DC - Rocker.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Rocker.mp3","AC-DC - Rocker.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Sin City.cdg","AC-DC - Sin City.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Sin City.MP3","AC-DC - Sin City.MP3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Sink The Pink.cdg","AC-DC - Sink The Pink.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Sink The Pink.MP3","AC-DC - Sink The Pink.MP3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Stiff Upper Lip.cdg","AC-DC - Stiff Upper Lip.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Stiff Upper Lip.mp3","AC-DC - Stiff Upper Lip.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Thunderstruck.cdg","AC-DC - Thunderstruck.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Thunderstruck.mp3","AC-DC - Thunderstruck.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Who Made Who.cdg","AC-DC - Who Made Who.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Who Made Who.MP3","AC-DC - Who Made Who.MP3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Whole Lotta Rosie.cdg","AC-DC - Whole Lotta Rosie.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - Whole Lotta Rosie.mp3","AC-DC - Whole Lotta Rosie.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - You Shook Me All Night Long.cdg","AC-DC - You Shook Me All Night Long.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\AC-DC - You Shook Me All Night Long.mp3","AC-DC - You Shook Me All Night Long.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Accept - Balls To The Wall.cdg","Accept - Balls To The Wall.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Accept - Balls To The Wall.MP3","Accept - Balls To The Wall.MP3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Amazing.CDG","Aerosmith - Amazing.CDG"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Amazing.mp3","Aerosmith - Amazing.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Angels Eye.cdg","Aerosmith - Angels Eye.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Angels Eye.mp3","Aerosmith - Angels Eye.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Back In The Saddle.cdg","Aerosmith - Back In The Saddle.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Back In The Saddle.mp3","Aerosmith - Back In The Saddle.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Come Together.cdg","Aerosmith - Come Together.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Come Together.mp3","Aerosmith - Come Together.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Crazy.cdg","Aerosmith - Crazy.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Crazy.mp3","Aerosmith - Crazy.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Cryin.cdg","Aerosmith - Cryin.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Cryin.mp3","Aerosmith - Cryin.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Dont Wanna Miss A Thing.cdg","Aerosmith - Dont Wanna Miss A Thing.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Dont Wanna Miss A Thing.mp3","Aerosmith - Dont Wanna Miss A Thing.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Dream On.cdg","Aerosmith - Dream On.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Dream On.mp3","Aerosmith - Dream On.mp3"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Dude Looks Like A Lady.cdg","Aerosmith - Dude Looks Like A Lady.cdg"
"D:\Karaoke\from vinny\9-19-14\Metal\Heavy Metal - NR. 1 - by Babycharles - Karaoke\Aerosmith - Dude Looks Like A Lady.mp3","Aerosmith - Dude Looks Like A Lady.mp3"
